restaurantID,name,street,restaurantZIP,#CommissionableOrders,AvgBasketSize€,#NegativeComments,#PositiveComments,%KillRate,AvgTimetoAccept(s),Month
5821,McDonald's,"Lauzilgasse, 31",8020,551,22.58,6,1,4.90%,627,1
5823,McDonald's,"Europaplatz, 4",8020,"1,226",21.96,7,1,3.70%,511,1
5875,Burger Eck,"Jakominiplatz, marktstand 12",8010,3,23.23,0,0,9.70%,359,1
5910,OTA Restaurant,"Keesgasse, 5",8010,22,30.91,0,1,16.30%,12,1
5921,Peri-Peri Chicken & Burger,"Körösistraße, 200",8010,260,19.42,2,1,9.00%,19,1
5922,Meet me there - Afrikanische Spezialitäten,"Griesgasse, 50",8020,15,17.84,0,0,,372,1
5958,Beste Freunde - Burgergrill,"Herrgottwiesgasse, 97",8020,993,19.81,11,1,10.00%,16,1
5961,Paradiso,"Sackstraße, 13",8010,0,,0,0,,,1
5964,Burger King,"Riesstraße, 22",8010,152,27.63,2,1,8.40%,12,1
6011,The Italian,"Europaplatz, 12",8020,59,21.86,1,1,,381,1
6030,Akakiko,"Sparkassenplatz, 2",8010,481,30.43,1,1,10.70%,499,1
6034,L'Osteria,"Mehlplatz, 1",8010,"1,017",25.76,7,1,9.80%,263,1
6037,Best Food Grill 5,"Münzgrabenstraße, 112",8010,109,23.24,1,1,3.60%,16,1
6081,Emy's Pizza & Kebap,"Paulustorgasse, 3",8010,0,,0,0,1.60%,,1
6094,Pizzeria Pisa,"Griesplatz, 14",8020,84,16.74,0,0,11.30%,18,1
6100,Captains Pizzeria - Das Original,"Triester Straße, 451",8055,275,22,3,1,6.00%,15,1
6159,Mando,"Liebenauer Hauptstraße, 20a",8041,0,,0,0,10.60%,,1
6173,Cook Moon,"Franziskanerplatz, stand 16",8010,0,,0,0,,,1
6412,Restaurant Liebenauer Hof,"Kasernstraße, 60",8010,0,,0,0,4.20%,,1
6414,KFC,"Lazarettgürtel, 55",8020,"1,244",16.03,13,1,4.90%,305,1
6418,Best Food Grill 1,"Keplerstraße, 116",8020,90,20.81,0,1,7.70%,10,1
6433,Subway,"Europaplatz, 2-9",8020,236,17.64,0,1,1.90%,445,1
6525,Östa Konditorei und Cafe,"Annenstraße, 64",8020,0,,0,0,,,1
6591,Ankara Grillhaus,"Girardigasse, 12",8010,199,12.8,0,1,3.50%,441,1
6594,Vapiano,"Sparkassenplatz, 4",8010,261,27.7,4,1,14.40%,447,1
6597,Eiscafe Roma,"Hans-Sachs-Gasse, 6",8010,35,15.73,0,1,5.80%,575,1
6598,Adelphia,"Sporgasse, 16",8010,78,15.18,0,1,7.00%,462,1
6599,Moserhofstub'n,"Moserhofgasse, 1-4",8010,22,22.94,1,1,3.00%,314,1
6646,Subway,"Jakominiplatz, 17",8010,19,18.78,0,0,4.50%,17,1
6753,Mumbai Cuisine,"Stremayrgasse, 6",8010,16,16.94,0,1,,669,1
6777,L'Enoteca Dei Ciclopi,"Sackstraße, 14",8010,0,,0,0,,,1
6778,Halici - Cafe Kebaphaus,"Volksgartenstraße, 2",8020,87,9.23,0,1,1.80%,465,1
6779,So \ So,"Heinrichstraße, 29",8010,2,11.9,0,0,8.20%,376,1
6780,Bier Baron,"Heinrichstraße, 56",8010,72,16,0,1,7.20%,362,1
6813,Zeppelin,"Goethestraße, 21",8010,99,16.37,2,1,6.50%,450,1
6814,Continuum,"Sporgasse, 29",8010,56,17.8,0,1,9.30%,444,1
6820,Isaan Thai Restaurant,"Klosterwiesgasse, 13/eg",8010,117,26.63,0,1,11.80%,424,1
6830,Venezia Star,"Kärntner Straße, 30",8020,7,16.84,0,1,13.50%,458,1
6841,Konoba Kroatien,"Enge Gasse, 1",8010,9,17.46,1,0,,613,1
6946,McDonald's,"Weiberfelderweg, 2",8054,"1,010",23.97,7,1,5.50%,500,1
6955,Confiserie Heindl,"Herrengasse, 26",8010,7,14.98,0,0,9.10%,915,1
6958,China Restaurant Szechuan,"Payer-Weyprecht-Straße, 46",8020,39,27.24,0,1,12.50%,476,1
6975,Zu den 3 goldenen Kugeln,"Ostbahnstraße, 3",8041,14,38.3,0,1,10.00%,"1,951",1
6976,Zu den 3 goldenen Kugeln,"Weblinger Gürtel, 25",8055,1,,0,0,,,1
6977,Zu den 3 goldenen Kugeln,"Shopping City Seiersberg, 1/9",8055,14,,0,0,16.30%,,1
6978,Granola - the American Way of Life,"Weblinger Gürtel, 25",8054,0,,0,0,21.70%,,1
6985,Granola - the American Way of Life,"Shopping City Seiersberg, 1/9",8055,1,,0,0,,,1
6986,Neu Nagoja,"Kärntner Straße, 388",8054,0,,0,0,,,1
6997,Rosamunde Grill,"Liebenauer Hauptstraße, 128",8041,99,20.69,0,1,9.90%,30,1
7003,Nahed's Küche,"Griesplatz, 4",8020,5,15.64,0,1,5.00%,735,1
7009,Chin Chin Asian Specials,"Gleisdorfer Gasse, 1",8010,853,26.06,0,1,9.30%,17,1
